Codigo de region,Nombre region,Codigo de provincia,Nombre provincia,Codigo comuna,Nombre comuna
15,Arica y Parinacota,151,Arica,15101,Arica
15,Arica y Parinacota,151,Arica,15102,Camarones
15,Arica y Parinacota,152,Parinacota,15201,Putre
15,Arica y Parinacota,152,Parinacota,15202,General Lagos
1,Tarapacá,11,Iquique,1101,Iquique
1,Tarapacá,11,Iquique,1107,Algo Hospicio
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte
1,Tarapacá,14,Tamarugal,1402,Camiña
1,Tarapacá,14,Tamarugal,1403,Colchane
1,Tarapacá,14,Tamarugal,1404,Huara
1,Tarapacá,14,Tamarugal,1405,Pica
2,Antofagasta,21,Antofagasta,2101,Antofagasta
2,Antofagasta,21,Antofagasta,2102,Mejillones
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda
2,Antofagasta,21,Antofagasta,2104,Taltal
2,Antofagasta,22,El Loa,2201,Calama
2,Antofagasta,22,El Loa,2202,Ollagüe
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama
2,Antofagasta,23,Tocopilla,2301,Tocopilla
2,Antofagasta,23,Tocopilla,2302,María Elena
3,Atacama,31,Copiapó,3101,Copiapó
3,Atacama,31,Copiapó,3102,Caldera
3,Atacama,32,Copiapó,3103,Tierra Amarilla
3,Atacama,32,Chañaral,3201,Chañaral
3,Atacama,33,Chañaral,3202,Diego de Almagro
3,Atacama,33,Huasco,3301,Vallenar
3,Atacama,33,Huasco,3302,Alto del Carmen
3,Atacama,33,Huasco,3303,Freirina
3,Atacama,33,Huasco,3304,Huasco
4,Coquimbo,41,Elqui,41101,La Serena
4,Coquimbo,41,Elqui,41102,Coquimbo
4,Coquimbo,41,Elqui,41103,Andacollo
4,Coquimbo,41,Elqui,41104,La Higuera
4,Coquimbo,41,Elqui,41105,Paiguano
4,Coquimbo,41,Elqui,41106,Vicuña
4,Coquimbo,42,Choapa,4201,Illapel
4,Coquimbo,42,Choapa,4202,Canela
4,Coquimbo,42,Choapa,4203,Los Vilos
4,Coquimbo,42,Choapa,4204,Salamanca
4,Coquimbo,43,Limarí,4301,Ovalle
4,Coquimbo,43,Limarí,4302,Combarbalá
4,Coquimbo,43,Limarí,4303,Monte Patria
4,Coquimbo,43,Limarí,4304,Punitaqui
4,Coquimbo,43,Limarí,4305,Río Hurtado
5,Valparaíso,51,Valparaíso,5101,Valparaíso
5,Valparaíso,51,Valparaíso,5102,Casablanca
5,Valparaíso,51,Valparaíso,5103,Concón
5,Valparaíso,51,Valparaíso,5104,Juan Fernández
5,Valparaíso,51,Valparaíso,5105,Puchuncaví
5,Valparaíso,51,Valparaíso,5106,Quilpué
5,Valparaíso,51,Valparaíso,5107,Quintero
5,Valparaíso,51,Valparaíso,5108,Villa Alemana
5,Valparaíso,51,Valparaíso,5109,Viña del Mar
